,Date,0,1,2,3,4,5,6,7,8,9
0,2024-11-27,AARTIIND,2277.0,5,1,436.35,446.50,453.25,454.20,464.65,0
1,2024-11-27,ABB,5219.0,50,0,7270.85,7363.45,7499.85,7453.15,7543.85,0
2,2024-11-27,ABBOTINDIA,989.0,125,2,27156.25,27468.15,27561.35,27675.30,27950.95,1
3,2024-11-27,ABCAPITAL,1943.0,1.25,2,186.45,188.80,193.44,191.30,193.30,0
4,2024-11-27,ABFRL,1748.0,2.5,0,297.75,303.30,309.4,306.85,311.50,1
5,2024-11-27,ACC,5259.0,10,0,2091.20,2110.35,2202.0,2127.80,2148.50,0
6,2024-11-27,ADANIENT,24478.0,10,1,2149.25,2169.30,2399.0,2189.40,2207.40,0
7,2024-11-27,ADANIPORTS,24251.0,10,0,1110.05,1129.95,1195.5,1147.95,1166.95,0
8,2024-11-27,ALKEM,1619.0,50,0,5363.95,5446.85,5461.55,5550.50,5655.75,0
9,2024-11-27,AMBUJACEM,4776.0,5,4,468.85,486.95,515.95,496.55,505.10,0
10,2024-11-27,APOLLOHOSP,5520.0,25,0,6974.75,7020.15,6982.0,7069.35,7116.85,0
11,2024-11-27,APOLLOTYRE,1795.0,5,0,504.95,515.20,511.7,523.10,536.25,3
12,2024-11-27,ASHOKLEY,2775.0,1.25,0,229.19,231.49,234.64,233.89,236.29,0
13,2024-11-27,ASIANPAINT,8318.0,10,1,2467.45,2488.35,2490.0,2506.55,2524.35,0
14,2024-11-27,ASTRAL,2133.0,10,1,1769.85,1788.70,1792.0,1806.25,1826.65,2
15,2024-11-27,ATUL,571.0,50,2,7252.60,7333.75,7395.0,7457.15,7601.60,2
16,2024-11-27,AUBANK,1813.0,5,1,575.75,584.95,590.7,593.15,603.05,0
17,2024-11-27,AUROPHARMA,2600.0,10,3,1182.50,1213.55,1223.95,1230.85,1250.70,0
18,2024-11-27,AXISBANK,7767.0,5,1,1125.00,1134.85,1151.0,1143.75,1153.90,0
19,2024-11-27,BAJAJ-AUTO,10824.0,50,5,9040.05,9140.70,9200.0,9232.15,9336.65,0
20,2024-11-27,BAJAJFINSV,2095.0,10,4,1572.90,1591.25,1600.0,1609.20,1631.60,0
21,2024-11-27,BAJFINANCE,4504.0,50,2,6450.80,6561.45,6708.0,6642.30,6739.85,0
22,2024-11-27,BALKRISIND,909.0,25,3,2688.50,2726.00,2738.0,2763.35,2802.30,1
23,2024-11-27,BANDHANBNK,1723.0,1.25,1,168.00,169.30,171.45,171.35,173.65,0
24,2024-11-27,BANKBARODA,3209.0,1.25,0,244.50,246.70,247.0,249.00,251.20,0
25,2024-11-27,BATAINDIA,8806.0,5,0,1347.30,1354.25,1370.0,1364.15,1373.65,1
26,2024-11-27,BEL,3802.0,2.5,0,293.50,297.45,307.05,302.35,306.55,0
27,2024-11-27,BERGEPAINT,1296.0,2.5,2,482.90,487.55,490.25,487.55,491.95,0
28,2024-11-27,BHARATFORG,1838.0,10,2,1292.05,1311.55,1325.0,1329.35,1345.80,0
29,2024-11-27,BHARTIARTL,6978.0,10,2,1531.35,1550.85,1577.0,1568.55,1589.70,0
30,2024-11-27,BHEL,2082.0,2.5,1,233.16,238.26,247.8,242.56,247.16,0
31,2024-11-27,BIOCON,3090.0,2.5,0,348.25,352.75,358.8,357.35,361.95,1
32,2024-11-27,BOSCHLTD,2418.0,250,0,34325.10,34784.00,34900.00,35060.50,null,3
33,2024-11-27,BPCL,4074.0,2.5,0,283.50,288.80,293.5,293.00,297.20,0
34,2024-11-27,BRITANNIA,5983.0,25,2,4923.95,4972.30,4985.0,5016.40,5066.65,0
35,2024-11-27,BSOFT,3114.0,5,0,586.20,595.55,600.3,605.00,615.55,0
36,2024-11-27,CANBK,3035.0,0.5,0,99.77,100.72,101.7,101.72,102.52,0
37,2024-11-27,CANFINHOME,2127.0,5,1,801.00,816.50,826.0,826.20,835.35,0
38,2024-11-27,CHAMBLFERT,1304.0,5,3,463.30,475.80,488.65,483.70,493.45,1
39,2024-11-27,CHOLAFIN,1515.0,10,1,1234.60,1254.15,1279.9,1271.35,1292.40,0
40,2024-11-27,CIPLA,5021.0,10,1,1451.65,1469.90,1495.65,1487.30,1507.55,0
41,2024-11-27,COALINDIA,13978.0,0.375,0,415.40,418.05,418.0,420.40,422.95,0
42,2024-11-27,COFORGE,5095.0,50,0,8467.85,8559.50,8684.9,8632.85,8762.85,3
43,2024-11-27,COLPAL,4389.0,25,2,2880.75,2929.75,3011.0,2975.15,3033.35,3
44,2024-11-27,CONCOR,1181.0,5,1,789.00,797.85,809.85,805.25,814.15,0
45,2024-11-27,COROMANDEL,2899.0,10,0,1712.60,1739.95,1758.2,1765.45,1785.30,1
46,2024-11-27,CROMPTON,1817.0,2.5,0,398.20,403.40,407.0,407.85,410.65,0
47,2024-11-27,CUB,1906.0,1.25,0,176.66,178.81,178.0,181.06,184.01,1
48,2024-11-27,CUMMINSIND,4267.0,25,2,3353.65,3432.80,3495.55,3476.60,3530.30,0
49,2024-11-27,DABUR,1986.0,2.5,1,517.40,521.95,527.15,526.50,531.70,0
50,2024-11-27,DALBHARAT,2135.0,10,1,1787.75,1808.55,1835.3,1826.60,1847.45,1
51,2024-11-27,DEEPAKNTR,1776.0,25,1,2630.60,2686.45,2715.0,2718.20,2770.65,1
52,2024-11-27,DIVISLAB,6421.0,25,0,6023.70,6065.35,6001.95,6115.05,6167.35,0
53,2024-11-27,DIXON,6775.0,50,0,15108.20,15398.80,15451.00,15530.85,null,2
54,2024-11-27,DLF,2645.0,5,0,818.55,827.25,823.85,835.70,846.10,0
55,2024-11-27,DRREDDY,2049.0,5,1,1194.70,1204.40,1201.95,1213.35,1223.30,0
56,2024-11-27,EICHERMOT,6255.0,25,0,4884.60,4931.50,4923.0,4980.80,5027.60,2
57,2024-11-27,ESCORTS,1457.0,25,3,3501.25,3589.95,3590.0,3628.45,3681.05,1
58,2024-11-27,EXIDEIND,1594.0,5,0,417.20,427.60,446.6,434.40,445.35,0
59,2024-11-27,FEDERALBNK,1913.0,1.25,0,209.17,211.02,212.3,213.27,215.92,2
60,2024-11-27,GAIL,2467.0,1.25,0,189.15,191.55,195.08,193.75,195.95,0
61,2024-11-27,GLENMARK,961.0,10,1,1475.95,1496.15,1525.85,1514.70,1531.50,0
62,2024-11-27,GMRINFRA,1374.0,0.5,1,78.81,79.71,81.95,80.51,81.51,0
63,2024-11-27,GNFC,2588.0,5,1,575.35,585.65,599.0,596.40,605.20,1
64,2024-11-27,GODREJCP,1066.0,10,2,1213.55,1232.90,1260.4,1250.60,1276.95,2
65,2024-11-27,GODREJPROP,4175.0,25,0,2790.55,2829.30,2831.0,2875.30,2925.05,1
66,2024-11-27,GRANULES,1604.0,5,1,576.20,583.75,581.65,593.90,604.35,1
67,2024-11-27,GRASIM,2523.0,10,0,2559.95,2592.75,2615.0,2608.40,2628.85,0
68,2024-11-27,GUJGASLTD,1034.0,5,3,456.50,466.50,472.5,474.60,483.05,0
69,2024-11-27,HAL,8649.0,50,1,4275.15,4358.15,4486.0,4441.80,4551.20,0
70,2024-11-27,HAVELLS,1534.0,10,1,1670.35,1689.10,1730.0,1705.50,1726.90,0
71,2024-11-27,HCLTECH,3922.0,10,0,1891.40,1909.10,1891.1,1927.80,1971.35,5
72,2024-11-27,HDFCAMC,3596.0,25,4,4076.35,4180.60,4248.95,4226.75,4270.60,0
73,2024-11-27,HDFCBANK,21427.0,5,0,1777.40,1784.55,1809.5,1793.05,1803.35,2
74,2024-11-27,HDFCLIFE,1307.0,5,1,676.70,683.75,681.4,694.55,713.70,0
75,2024-11-27,HEROMOTOCO,2455.0,50,2,4659.90,4759.60,4873.0,4846.30,4950.80,0
76,2024-11-27,HINDALCO,2630.0,5,2,647.60,657.20,661.3,665.60,675.50,0
77,2024-11-27,HINDCOPPER,1295.0,2.5,4,272.95,277.75,277.5,281.80,286.55,1
78,2024-11-27,HINDPETRO,3830.0,2.5,0,373.25,378.40,380.3,382.30,386.65,0
79,2024-11-27,HINDUNILVR,3589.0,10,0,2450.35,2468.10,2486.65,2487.85,2509.60,0
80,2024-11-27,ICICIBANK,7189.0,5,0,1296.95,1304.55,1301.25,1314.75,1324.75,0
81,2024-11-27,ICICIGI,1537.0,10,4,1792.25,1828.60,1861.05,1847.60,1867.90,0
82,2024-11-27,ICICIPRULI,1439.0,5,1,650.75,675.15,681.3,684.05,693.20,0
83,2024-11-27,IDEA,5623.0,0.5,0,7.13,7.53,8.38,7.53,8.48,0
84,2024-11-27,IDFCFIRSTB,2228.0,0.5,3,63.39,64.39,64.25,65.64,66.34,0
85,2024-11-27,IEX,1315.0,1.25,1,164.47,166.47,172.51,168.72,171.32,0
86,2024-11-27,IGL,2523.0,5,2,304.75,315.40,319.15,322.85,333.15,0
87,2024-11-27,INDHOTEL,2676.0,5,0,775.85,785.55,790.5,793.85,802.90,2
88,2024-11-27,INDIAMART,1366.0,25,3,2284.30,2318.15,2372.0,2372.50,2418.20,1
89,2024-11-27,INDIGO,5127.0,25,0,4131.45,4175.90,4265.0,4219.10,4274.75,3
90,2024-11-27,INDUSINDBK,3696.0,10,2,972.00,991.70,1004.9,1009.35,1028.40,0
91,2024-11-27,INDUSTOWER,4671.0,5,0,327.30,337.15,350.6,343.95,354.05,0
92,2024-11-27,INFY,8526.0,10,0,1889.30,1909.70,1927.0,1927.85,1948.00,2
93,2024-11-27,IOC,2664.0,1.25,3,134.05,136.25,139.28,136.25,138.40,0
94,2024-11-27,IPCALAB,1519.0,10,0,1529.85,1544.00,1529.0,1568.70,1587.90,1
95,2024-11-27,IRCTC,1975.0,5,3,797.35,806.85,823.35,815.90,824.65,0
96,2024-11-27,ITC,2906.0,2.5,0,468.00,473.25,476.95,477.40,483.05,0
97,2024-11-27,JINDALSTEL,3383.0,5,1,867.65,877.95,887.9,886.95,895.60,0
98,2024-11-27,JKCEMENT,1252.0,25,1,4115.05,4176.00,4180.1,4219.00,4297.85,4
99,2024-11-27,JSWSTEEL,2268.0,5,0,944.15,953.65,972.0,963.20,971.95,0
100,2024-11-27,JUBLFOOD,1583.0,5,0,636.80,644.65,651.5,654.35,664.10,4
101,2024-11-27,KOTAKBANK,6724.0,10,0,1777.10,1793.55,1780.0,1810.75,1832.30,1
102,2024-11-27,LALPATHLAB,3050.0,25,3,3016.75,3066.70,3032.0,3110.85,3171.90,3
103,2024-11-27,LAURUSLABS,2026.0,5,0,536.45,545.10,544.1,555.05,564.40,0
104,2024-11-27,LICHSGFIN,1516.0,5,2,602.55,616.90,628.0,624.20,633.85,0
105,2024-11-27,LT,5066.0,25,0,3631.95,3685.75,3697.0,3711.90,3765.55,3
106,2024-11-27,LTF,1858.0,1.25,0,136.75,139.20,140.66,141.55,143.95,0
107,2024-11-27,LTIM,2513.0,25,0,6191.65,6242.65,6236.15,6286.50,6347.50,3
108,2024-11-27,LTTS,3095.0,25,0,5417.45,5477.45,5432.3,5517.60,5590.75,4
109,2024-11-27,LUPIN,3153.0,10,3,2013.30,2030.55,2011.8,2048.40,2070.50,0
110,2024-11-27,M&M,37822.0,25,0,2981.85,3029.65,3000.0,3076.65,3132.50,3
111,2024-11-27,M&MFIN,1476.0,2.5,0,264.60,268.80,272.5,272.55,277.85,0
112,2024-11-27,MANAPPURAM,1353.0,1.25,0,151.54,153.74,155.16,155.54,158.34,0
113,2024-11-27,MARICO,2413.0,5,3,616.25,625.30,651.8,633.75,646.30,1
114,2024-11-27,MARUTI,11316.0,50,1,10745.05,10849.45,11070.0,10944.35,11034.45,0
115,2024-11-27,MCX,2773.0,50,1,5960.30,6040.25,6117.85,6125.90,6231.15,0
116,2024-11-27,METROPOLIS,1290.0,10,0,2130.70,2147.40,2169.0,2162.50,2186.85,2
117,2024-11-27,MFSL,923.0,10,0,1156.50,1174.30,1184.0,1193.95,1211.60,2
118,2024-11-27,MGL,2350.0,10,0,1134.00,1152.45,1178.95,1168.45,1187.55,0
119,2024-11-27,MOTHERSON,1801.0,1.25,1,161.87,164.37,163.72,166.67,168.72,0
120,2024-11-27,MPHASIS,1252.0,25,1,2933.90,2982.35,3025.0,3022.10,3074.65,4
121,2024-11-27,MRF,3357.0,250,0,123000.30,123693.00,123731.60,123805.30,null,2
