,Date,symbol,volume,pv,bullish risk,C2,C1,CMP,P1,P2,Bearish Risk
0,06-12-2024,SONACOMS,1283,5,4,664.35,674.15,669.1,683.8,693.7,6
1,06-12-2024,SRF,1323,10,0,2279.95,2300.4,2297.1,2321.4,2340.5,1
2,06-12-2024,SUNPHARMA,2967,10,1,1790.3,1810.15,1803.35,1828,1846.25,3
3,06-12-2024,SUNTV,1143,5,5,753.75,762.9,766.1,774.05,781,3
4,06-12-2024,SUPREMEIND,902,50,5,4657.55,4741.05,4761.45,4848.3,null,5
5,06-12-2024,SYNGENE,1103,5,0,914.25,920.5,918.85,932.6,940.45,0
6,06-12-2024,TATACHEM,1070,10,2,1104.95,1124.05,1117.1,1142.9,1165.2,3
7,06-12-2024,TATACOMM,1388,10,4,1764.15,1784.6,1792.5,1803.4,1821.9,3
8,06-12-2024,TATACONSUM,2062,5,1,952.45,961.9,975.5,970.65,980.4,1
9,06-12-2024,TATAELXSI,3516,50,1,7230.65,7328.25,7389.15,7426.25,7518.4,5
10,06-12-2024,TATAMOTORS,12523,5,0,771.55,781.3,818,790.95,800.7,0
11,06-12-2024,TATAPOWER,18429,2.5,0,431.1,435.9,438.95,440.65,445.6,1
12,06-12-2024,TATASTEEL,2535,1.25,1,143.43,145.73,148.1,148.03,150.58,0
13,06-12-2024,TCS,12298,25,0,4359,4407,4444.15,4455.95,4502.8,1
14,06-12-2024,TECHM,1819,10,0,1748.85,1767.6,1785,1786.85,1805.8,3
15,06-12-2024,TIINDIA,728,25,5,3667.35,3703.85,3685.9,3751.65,3780.45,3
16,06-12-2024,TITAN,3977,25,1,3367.4,3415.35,3467.35,3462.9,3510.8,1
17,06-12-2024,TORNTPHARM,1771,25,3,3285.4,3323.75,3337.35,3370.1,3419.95,2
18,06-12-2024,TRENT,32024,50,0,6936,7033.25,6980,7132.2,7231.5,1
19,06-12-2024,TVSMOTOR,970,25,4,2471.5,2519.25,2521,2566.45,2616.2,0
20,06-12-2024,UBL,906,10,3,1943.55,1964.95,1960,1985.85,2007.7,5
21,06-12-2024,ULTRACEMCO,3736,50,0,11702.65,11798.65,11857.9,11894.05,12001.75,2
22,06-12-2024,UNIONBANK,1632,0.5,1,127.25,128.3,128.8,128.3,129.1,3
23,06-12-2024,UNITDSPR,969,10,2,1505.45,1523.25,1516.85,1542.1,1563.9,3
24,06-12-2024,UPL,2362.405904,2.025,0,557.45,562.05,562,566.9,571.45,0
25,06-12-2024,VBL,2741,5,4,621.55,631.7,642.7,641.35,652.7,3
26,06-12-2024,VEDL,2804,5,2,464.55,473.75,501.4,483.05,493.3,0
27,06-12-2024,VOLTAS,2165,10,0,1666.4,1684.75,1714,1705,1725.25,0
28,06-12-2024,WIPRO,3606,1.25,0,292.65,295.15,297.4,297.65,300,0
29,06-12-2024,YESBANK,274,0.5,0,19.45,20.4,21.53,21.35,22.3,1
30,06-12-2024,ZOMATO,5713,2.5,0,291.25,296.5,302.45,301.45,306.3,1
31,06-12-2024,ZYDUSLIFE,879,10,4,950.25,969.1,995,987.75,1008.1,0
32,06-12-2024,AARTIIND,837,5,5,436.25,444.7,452,453.65,462.95,0
33,06-12-2024,ABB,1779,50,0,7428.35,7515.4,7545,7608.45,7750,2
34,06-12-2024,ABBOTINDIA,302,250,1,28258.2,null,29128.1,null,null,4
35,06-12-2024,ABCAPITAL,1908,1.25,2,195.66,197.91,198.65,200.51,204.56,2
36,06-12-2024,ABFRL,844,2.5,2,302.2,306.35,306.75,310.95,316.2,1
37,06-12-2024,ACC,2313,10,0,2238.4,2258.1,2257.05,2279.65,2299.05,0
38,06-12-2024,ADANIENSOL,1400,10,2,787.7,806.75,807.5,828.3,848.1,1
39,06-12-2024,ADANIENT,5659,10,0,2498.65,2518.55,2504.9,2536.65,2555,0
40,06-12-2024,ADANIGREEN,2555,10,3,1191.2,1211.4,1209.5,1231.05,1250,0
41,06-12-2024,ADANIPORTS,5276,10,0,1247.4,1266.75,1257.8,1285.55,1304.2,0
42,06-12-2024,ALKEM,1022,50,3,5528.7,5628.35,5519,5717.5,5843.65,4
43,06-12-2024,AMBUJACEM,1592,5,0,555.25,563.9,566.05,573.65,583.25,0
44,06-12-2024,ANGELONE,6557,25,3,2919.8,3067.8,3281,3119.55,3165,4
45,06-12-2024,APLAPOLLO,1935,10,4,1549.95,1565,1577.2,1587,1608.05,5
46,06-12-2024,APOLLOHOSP,2202,25,0,7201.05,7249.7,7228.85,7299.7,7337.35,4
47,06-12-2024,APOLLOTYRE,890,5,0,525.75,535.25,540.4,544.75,554.35,2
48,06-12-2024,ASHOKLEY,1156,1.25,0,228.42,230.87,232.24,233.32,235.82,0
49,06-12-2024,ASIANPAINT,4319,10,1,2437.05,2457.05,2428.8,2476.1,2495.95,0
50,06-12-2024,ASTRAL,1122,10,3,1806.5,1827.5,1843.8,1845.25,1868.7,3
51,06-12-2024,ATGL,1156,5,5,719.8,733.8,729,746.3,751.5,0
52,06-12-2024,ATUL,1301,50,4,7283.3,7375.3,7335.1,7454.05,7547.35,3
53,06-12-2024,AUBANK,1053,5,1,584.8,594.1,588,603.8,613.65,0
54,06-12-2024,AUROPHARMA,1770,10,4,1227.65,1246.15,1248,1266.15,1286.85,0
55,06-12-2024,AXISBANK,5157,5,1,1149.85,1159.95,1183.9,1169.5,1179.8,0
56,06-12-2024,BAJAJ-AUTO,27205,50,2,8932.9,9029.85,9100,9126.25,9222.15,0
57,06-12-2024,BAJAJFINSV,2865,10,0,1605.1,1624.85,1630.95,1644.8,1661.55,1
58,06-12-2024,BAJFINANCE,6234,50,1,6733.75,6830.3,6846,6926.2,7019.55,0
59,06-12-2024,BALKRISIND,1155,25,5,2782.05,2820.8,2808,2859.45,2911.2,1
60,06-12-2024,BANDHANBNK,1287,1.25,0,173.25,175.75,176.5,178.05,180.3,0
61,06-12-2024,BANKBARODA,3847,1.25,0,258.22,260.37,264,262.67,265.12,1
62,06-12-2024,BANKINDIA,2130,0.5,0,117,117.95,117.7,119,119.95,4
63,06-12-2024,BATAINDIA,2558,5,0,1429.05,1434.35,1441,1444.65,1456.45,2
64,06-12-2024,BEL,3035,2.5,0,306.95,311.5,313.7,316.35,321.25,0
65,06-12-2024,BERGEPAINT,1428,2.5,5,477.7,480.55,480.75,485.45,490.85,0
66,06-12-2024,BHARATFORG,1448,10,1,1344.85,1363.6,1353,1383.4,1402.8,0
67,06-12-2024,BHARTIARTL,6758,10,1,1588.85,1607.5,1597.75,1627.15,1645.3,2
68,06-12-2024,BHEL,1004,2.5,2,246.55,251.2,248.95,255.95,261.5,1
69,06-12-2024,BIOCON,805,2.5,0,371.05,375.7,379.4,380.7,386,2
70,06-12-2024,BOSCHLTD,2270,250,4,35725.3,36201.2,36452.05,36797.55,null,5
71,06-12-2024,BPCL,3065,2.5,1,292.8,297.45,300.8,302.2,306.9,1
72,06-12-2024,BRITANNIA,2760,25,2,4808.25,4858.55,4870,4906.65,4954.3,1
73,06-12-2024,BSE,29458,50,0,5132.95,5225.35,5379,5317.05,5409.35,3
74,06-12-2024,BSOFT,1018,5,3,593.2,602.7,608.4,611.65,619.65,0
75,06-12-2024,CAMS,775,50,5,5014.4,5131.1,5067,5215.3,5324.35,3
76,06-12-2024,CANBK,8877,0.5,0,107.25,108.2,109.2,109.25,110.1,0
77,06-12-2024,CANFINHOME,1491,5,2,814.35,824.05,802.5,833.7,843.8,0
78,06-12-2024,CDSL,8953,10,0,1821.65,1844.35,1879.75,1863.6,1880.45,2
79,06-12-2024,CESC,1829,1.25,0,190.71,193.71,198,195.91,199.91,4
80,06-12-2024,CGPOWER,1797,5,4,751.9,761.15,783.1,771.25,781.6,5
81,06-12-2024,CHAMBLFERT,1496,5,0,534.65,543.7,542.95,553.2,561.75,2
82,06-12-2024,CHOLAFIN,1718,10,0,1264.65,1283.15,1278.35,1304.3,1323,1
83,06-12-2024,CIPLA,3322,10,4,1463.25,1482.5,1477,1502.1,1520.3,0
84,06-12-2024,COALINDIA,4804,2.125,0,416.25,418.45,417.85,421,423.45,0
85,06-12-2024,COFORGE,3418,50,0,8613.25,8714.35,8901,8813.35,8905.9,4
86,06-12-2024,COLPAL,1346,25,3,2865.7,2912.3,2884.2,2961.1,3009.9,0
87,06-12-2024,CONCOR,1514,5,0,833.2,842.8,844.15,852.6,871.05,0
88,06-12-2024,COROMANDEL,1018,10,2,1776.4,1782.65,1759.4,1801.8,1845.5,3
89,06-12-2024,CROMPTON,1298,2.5,5,401.5,406.4,406,413,418.55,1
90,06-12-2024,CUB,1747,1.25,0,183.48,185.88,184.8,188.48,191.18,0
91,06-12-2024,CUMMINSIND,1259,25,2,3423.3,3467.1,3460,3522.35,3576.9,0
92,06-12-2024,CYIENT,538,10,5,1929.1,1950.45,1989.3,1968.75,1987.1,6
93,06-12-2024,DABUR,1215,2.5,2,515.45,519.9,523.5,524.85,529.75,1
94,06-12-2024,DALBHARAT,1378,10,1,1880.8,1900.1,1923.2,1919.3,1943.7,3
95,06-12-2024,DEEPAKNTR,1182,25,3,2622.05,2674,2702,2716.6,2769.95,1
96,06-12-2024,DELHIVERY,1304,2.5,4,325.85,331.5,354.05,337.05,342.1,6
97,06-12-2024,DIVISLAB,9190,25,1,6054.75,6102.85,6134,6153.45,6201.5,0
98,06-12-2024,DIXON,6633,125,0,16828.3,17071.3,17430,17315.3,17555.95,3
99,06-12-2024,DLF,2831,5,0,832.7,842.15,853.65,852,861.75,0
100,06-12-2024,DMART,3941,25,2,3817.55,3861.85,3906.7,3914.2,null,7
101,06-12-2024,DRREDDY,3033,5,0,1234.2,1243.9,1253.55,1253.8,1263.55,1
102,06-12-2024,EICHERMOT,3804,25,1,4812.35,4860.95,4882.85,4905.15,4974.6,3
103,06-12-2024,ESCORTS,3374,25,5,3418.2,3468.45,3522,3519.2,3603.85,1
104,06-12-2024,EXIDEIND,960,5,4,443.8,453.4,462.5,462.9,474.2,1
105,06-12-2024,FEDERALBNK,2989,1.25,0,210.24,212.74,213.95,212.74,215.24,1
106,06-12-2024,GAIL,3477,1.25,0,208.77,211.02,210.5,213.52,215.72,0
107,06-12-2024,GLENMARK,735,10,3,1530.65,1548.2,1530.2,1567.25,1589.3,0
108,06-12-2024,GMRINFRA,2754,0.5,0,83.38,84.38,84.45,85.38,86.28,1
109,06-12-2024,GNFC,1097,5,3,623.65,634,637,643.65,653.35,0
110,06-12-2024,GODREJCP,871,10,3,1229.4,1248.1,1230.65,1267.8,1286.1,0
111,06-12-2024,GODREJPROP,2169,25,3,2764.3,2810.95,2834.9,2859.75,2908.55,1
112,06-12-2024,GRANULES,2482,5,0,560.65,573.25,574.05,576.45,594.25,0
113,06-12-2024,GRASIM,2057,10,0,2680.75,2699.25,2702.3,2720.2,2740.05,0
114,06-12-2024,GUJGASLTD,1694,5,2,494.5,503.85,511.25,513.75,523.1,0
115,06-12-2024,HAL,4730,50,0,4452.1,4543.95,4559,4633,4726.65,0
116,06-12-2024,HAVELLS,1377,10,2,1727.3,1746.6,1736,1765.55,1802.4,3
117,06-12-2024,HCLTECH,3448,10,0,1888.3,1907.45,1915.55,1927.55,1946.7,2
118,06-12-2024,HDFCAMC,1250,25,1,4315.05,4372.95,4375.15,4411.4,null,3
119,06-12-2024,HDFCBANK,16904,5,0,1840.55,1850.75,1855.45,1860.6,1870.45,0
120,06-12-2024,HDFCLIFE,1361,5,3,632.15,641.65,636.2,651.2,661.9,0
121,06-12-2024,HEROMOTOCO,9330,50,1,4544.25,4639.75,4639,4732.7,4826.45,0
122,06-12-2024,HFCL,484,1.25,4,125.52,124.67,132.15,130.52,131.72,1
123,06-12-2024,HINDALCO,1894,5,1,655.15,664.65,670,674.75,683.5,0
124,06-12-2024,HINDCOPPER,668,2.5,3,282,287.1,288.9,293,null,3
125,06-12-2024,HINDPETRO,2326,2.5,0,386.8,391.6,398.2,396.3,401.35,1
126,06-12-2024,HINDUNILVR,3328,10,1,2461.9,2481.1,2485,2500.7,2519.65,0
127,06-12-2024,HUDCO,992,2.5,3,236.41,241.36,247,245.51,249.71,3
128,06-12-2024,ICICIBANK,12499,5,0,1319.95,1331.1,1329,1341.2,1350.85,2
129,06-12-2024,ICICIGI,1231,10,3,1912.45,1927.8,1948.2,1945.8,1969.8,4
130,06-12-2024,ICICIPRULI,2175,5,2,673.05,682.75,675.55,692.05,703.3,2
131,06-12-2024,IDEA,2456,0.5,1,6.51,7.51,8.12,8.26,9.36,3
132,06-12-2024,IDFCFIRSTB,2622,0.5,0,,,65.9,,,1
133,06-12-2024,IEX,1812,1.25,1,175.48,177.68,184.73,180.33,182.83,0
134,06-12-2024,IGL,7386,5,0,374.55,384.15,383.7,393.15,402.75,1
135,06-12-2024,INDHOTEL,1673,5,0,803.55,813.9,824.65,823.5,832.6,2
136,06-12-2024,INDIAMART,1214,25,3,2318.7,2358.8,2366.3,2406.2,null,3
137,06-12-2024,INDIANB,1774,5,4,584.65,593.9,593.3,603.85,612.6,5
138,06-12-2024,INDIGO,2821,25,0,4321.35,4368.4,4505,4416.05,4465.35,1
139,06-12-2024,INDUSINDBK,2961,10,3,968,985.65,988.35,1004.2,1023.05,0
140,06-12-2024,INDUSTOWER,13089,5,2,355.95,364.85,364.9,374.2,383.65,0
141,06-12-2024,INFY,8410,10,0,1905.95,1924.85,1919,1943.55,1963.05,2
142,06-12-2024,IOC,3219,1.25,1,138.4,140.65,142,143.15,145.35,0
143,06-12-2024,IPCALAB,1441,10,1,1486.6,1505.65,1537,1525.05,1545.2,3
144,06-12-2024,IRB,652,0.5,4,56.84,57.44,57.74,58.69,null,4
145,06-12-2024,IRCTC,1533,5,0,823.75,833.5,830,843.25,852.6,0
146,06-12-2024,IRFC,732,1.25,4,147.6,150.2,158.08,152.1,154.75,4
147,06-12-2024,ITC,7769,2.5,1,466.75,471.6,471.95,476.45,480.95,0
148,06-12-2024,JINDALSTEL,2870,5,0,920.85,930.75,947.1,940.2,950.15,0
149,06-12-2024,JIOFIN,1844,2.5,4,336.1,340.7,338.9,345.55,350.3,3
150,06-12-2024,JKCEMENT,432,25,0,4575.05,4605.1,4582.3,4657,4686.45,4
151,06-12-2024,JSL,1017,5,4,719.7,728.15,743,732.75,741.1,5
152,06-12-2024,JSWENERGY,1781,5,3,654.2,663.8,675.05,673.65,685.7,5
153,06-12-2024,JSWSTEEL,2335,5,0,992.35,1002.25,1003.6,1012.15,1022.9,0
