,Date,0,1,2,3,4,5,6,7,8,9
0,2025-01-14,AARTIIND,12218.0,2.5,1,398.70,410.00,409.35,418.50,416.80,0
1,2025-01-14,ABB,4323.0,50,3,6027.75,6119.10,6146.6,6231.30,6325.50,0
2,2025-01-14,ABBOTINDIA,583.0,125,6,28212.50,28211.70,28235.55,28985.90,29328.70,0
3,2025-01-14,ABCAPITAL,2239.0,1.25,2,170.50,172.80,174.37,172.80,175.10,0
4,2025-01-14,ABFRL,1426.0,2.5,3,261.05,265.85,270.1,271.00,275.70,0
5,2025-01-14,ACC,2411.0,10,2,1881.80,1900.05,1946.25,1923.20,1942.20,0
6,2025-01-14,ADANIENSOL,2106.0,10,0,692.65,712.50,771.3,729.65,748.75,0
7,2025-01-14,ADANIENT,9910.0,10,1,2261.45,2281.40,2380.55,2300.85,2320.45,0
8,2025-01-14,ADANIGREEN,5164.0,10,1,897.10,917.05,1006.85,936.65,955.70,0
9,2025-01-14,ADANIPORTS,6523.0,10,1,1069.10,1088.35,1117.1,1107.05,1124.80,0
10,2025-01-14,ALKEM,1604.0,25,4,5217.15,5138.40,5264.8,5310.05,5337.05,0
11,2025-01-14,AMBUJACEM,2790.0,2.5,3,496.50,501.25,515.35,505.00,511.10,0
12,2025-01-14,ANGELONE,28343.0,50,3,2206.35,2295.70,2330.35,2387.10,null,0
13,2025-01-14,APLAPOLLO,2203.0,10,4,1442.90,1463.50,1466.9,1484.20,1534.35,0
14,2025-01-14,APOLLOHOSP,6571.0,25,2,6806.45,6851.70,6706.85,6904.40,6947.25,0
15,2025-01-14,APOLLOTYRE,2460.0,5,1,437.30,447.05,452.8,456.85,466.30,0
16,2025-01-14,ASHOKLEY,2723.0,1.25,0,203.60,205.95,210.05,208.45,210.80,0
17,2025-01-14,ASIANPAINT,7883.0,10,1,2246.20,2265.65,2239.95,2285.30,2304.65,0
18,2025-01-14,ASTRAL,2499.0,10,3,1486.15,1506.45,1493.5,1529.70,1572.30,0
19,2025-01-14,ATGL,1746.0,5,2,null,643.65,650.80,652.10,662.20,0
20,2025-01-14,ATUL,749.0,50,3,6441.70,null,6721.85,null,6733.75,2
21,2025-01-14,AUBANK,1700.0,2.5,0,562.20,567.65,575.1,572.35,577.45,0
22,2025-01-14,AUROPHARMA,3107.0,10,3,1147.90,1168.00,1174.5,1187.80,1206.80,0
23,2025-01-14,AXISBANK,7330.0,5,1,1033.20,1042.75,1051.65,1052.85,1062.60,0
24,2025-01-14,BAJAJ-AUTO,5769.0,50,3,8522.70,8623.00,8611.2,8718.10,8825.40,0
25,2025-01-14,BAJAJFINSV,4435.0,10,0,1670.50,1688.95,1713.5,1709.00,1729.00,0
26,2025-01-14,BAJFINANCE,7763.0,50,0,7142.00,7239.20,7335.0,7335.15,7431.10,0
27,2025-01-14,BALKRISIND,2843.0,5,4,2620.60,null,2668.00,null,2714.65,1
28,2025-01-14,BANDHANBNK,638.0,1.25,2,130.15,136.15,147.94,144.70,148.15,0
29,2025-01-14,BANKBARODA,4008.0,1.25,0,220.91,223.26,223.72,225.81,228.21,0
30,2025-01-14,BANKINDIA,1588.0,0.5,3,91.18,92.18,94.62,93.43,94.28,0
31,2025-01-14,BATAINDIA,2147.0,5,3,1332.30,1348.15,1343.55,1362.15,1372.20,0
32,2025-01-14,BEL,6654.0,2.5,1,257.45,262.10,269.9,267.00,271.85,0
33,2025-01-14,BERGEPAINT,1635.0,2.5,0,451.40,456.10,462.45,461.35,471.30,0
34,2025-01-14,BHARATFORG,2050.0,10,2,1165.40,1185.25,1190.4,1204.65,1240.55,0
35,2025-01-14,BHARTIARTL,5292.0,10,2,1586.90,1606.50,1600.1,1625.95,1644.10,1
36,2025-01-14,BHEL,3319.0,2.5,3,187.04,191.64,197.1,196.59,201.29,0
37,2025-01-14,BIOCON,8643.0,2.5,0,371.25,376.00,387.65,380.70,385.65,2
38,2025-01-14,BOSCHLTD,2238.0,250,3,30875.00,31184.55,31201.95,null,32209.30,0
39,2025-01-14,BPCL,5100.0,2.5,2,262.25,267.05,270.2,272.00,276.75,0
40,2025-01-14,BRITANNIA,2449.0,25,1,4863.20,4911.60,4862.4,4959.15,5008.65,1
41,2025-01-14,BSE,14024.0,50,2,5243.10,5337.00,5448.85,5433.95,5534.35,1
42,2025-01-14,BSOFT,4455.0,5,2,514.35,524.15,532.9,534.25,542.10,0
43,2025-01-14,CAMS,1503.0,50,1,4112.00,4207.55,4219.6,4311.20,4411.55,0
44,2025-01-14,CANBK,4594.0,0.5,0,89.50,90.45,93.22,91.45,92.45,0
45,2025-01-14,CANFINHOME,1677.0,5,2,651.35,662.25,670.8,672.65,691.75,0
46,2025-01-14,CDSL,2657.0,10,3,1507.55,1533.30,1572.5,1546.50,1565.05,0
47,2025-01-14,CESC,2643.0,2.5,3,146.80,152.15,154.85,156.65,null,0
48,2025-01-14,CGPOWER,2307.0,5,2,613.70,622.85,640.15,633.20,640.90,0
49,2025-01-14,CHAMBLFERT,2227.0,5,4,454.90,464.00,475.05,473.35,483.00,0
50,2025-01-14,CHOLAFIN,1584.0,10,2,1225.35,1245.00,1270.7,1263.50,1283.35,1
51,2025-01-14,CIPLA,1574.0,10,4,1423.45,1444.65,1447.75,1463.25,1483.40,0
52,2025-01-14,COALINDIA,5064.0,2.5,2,361.40,366.30,369.25,371.00,375.85,0
53,2025-01-14,COFORGE,6107.0,50,2,8614.90,8706.10,8592.4,8813.20,8914.85,0
54,2025-01-14,COLPAL,3835.0,10,0,2770.35,2785.25,2713.3,2807.85,2855.85,1
55,2025-01-14,CONCOR,2471.0,5,4,721.70,731.90,761.75,741.95,751.15,0
56,2025-01-14,COROMANDEL,2262.0,10,3,1802.55,1822.50,1835.3,1842.15,1859.95,0
57,2025-01-14,CROMPTON,1374.0,2.5,1,348.70,350.90,357.2,355.90,359.95,0
58,2025-01-14,CUB,1041.0,1.25,3,160.95,156.55,167.4,164.80,166.05,0
59,2025-01-14,CUMMINSIND,2544.0,25,3,2868.50,2913.55,2940.95,2964.85,3011.80,0
60,2025-01-14,CYIENT,1257.0,10,5,1672.05,1664.95,1713.45,1714.30,1730.60,0
61,2025-01-14,DABUR,2073.0,2.5,0,505.95,510.30,512.5,515.35,520.50,0
62,2025-01-14,DALBHARAT,3819.0,10,0,1712.60,1730.40,1729.0,1754.20,1790.75,0
63,2025-01-14,DEEPAKNTR,842.0,25,1,2286.65,2320.80,2340.85,2368.65,2415.75,0
64,2025-01-14,DELHIVERY,1176.0,2.5,0,316.55,322.20,324.0,327.00,332.50,0
65,2025-01-14,DIVISLAB,4387.0,25,1,5720.40,5770.60,5990.3,5818.30,5868.00,0
66,2025-01-14,DIXON,17240.0,125,3,15616.90,15841.05,16274.9,16092.05,16350.70,0
67,2025-01-14,DLF,5011.0,5,4,704.35,713.85,723.25,723.45,733.10,0
68,2025-01-14,DMART,10230.0,25,3,3406.95,3466.90,3476.5,3514.85,3563.85,0
69,2025-01-14,DRREDDY,2458.0,5,0,1321.90,1331.70,1337.55,1341.70,1351.80,0
70,2025-01-14,EICHERMOT,2695.0,25,1,4914.15,4968.00,5029.55,5014.65,5063.90,0
71,2025-01-14,ESCORTS,1719.0,25,1,3310.25,3317.35,3439.0,3369.25,3416.20,1
72,2025-01-14,EXIDEIND,1972.0,2.5,1,365.65,371.20,382.25,376.00,380.85,0
73,2025-01-14,FEDERALBNK,1733.0,1.25,1,188.10,190.35,192.56,193.00,195.55,0
74,2025-01-14,GAIL,3215.0,1.25,1,173.04,175.49,175.96,177.84,180.19,0
