,Date,0,1,2,3,4,5,6,7,8,9
0,2024-12-20,AARTIIND,2035.0,5,3,405.50,415.60,405.0,423.95,432.75,0
1,2024-12-20,ABB,3989.0,50,2,7257.75,7353.55,6940.0,7439.35,7528.70,1
2,2024-12-20,ABBOTINDIA,1814.0,125,1,28705.60,28857.25,28611.05,29143.65,29462.00,2
3,2024-12-20,ABCAPITAL,1396.0,1.25,4,186.35,188.65,185.89,190.95,193.25,1
4,2024-12-20,ABFRL,847.0,2.5,2,282.45,287.80,282.0,292.05,296.95,0
5,2024-12-20,ACC,2706.0,10,1,2100.85,2118.65,2060.0,2118.65,2138.55,0
6,2024-12-20,ADANIENSOL,873.0,10,2,790.40,807.75,769.65,828.70,864.55,0
7,2024-12-20,ADANIENT,9848.0,10,0,2412.35,2430.90,2349.2,2448.65,2463.70,0
8,2024-12-20,ADANIGREEN,10024.0,10,3,1084.45,1104.35,1030.0,1121.80,1141.70,0
9,2024-12-20,ADANIPORTS,7444.0,10,1,1171.60,1190.70,1181.3,1207.00,1224.25,0
10,2024-12-20,ALKEM,1223.0,50,2,5366.95,5457.75,5425.0,5540.65,5655.15,3
11,2024-12-20,AMBUJACEM,1698.0,5,0,555.70,564.40,550.85,573.55,585.45,0
12,2024-12-20,ANGELONE,3059.0,25,3,3022.20,3067.90,2880.0,3112.25,3188.30,0
13,2024-12-20,APLAPOLLO,1623.0,10,3,1548.35,1569.05,1555.55,1590.45,1609.95,4
14,2024-12-20,APOLLOHOSP,2783.0,25,0,7265.15,7309.80,7244.9,7362.75,7412.15,3
15,2024-12-20,APOLLOTYRE,898.0,5,1,512.70,524.05,532.35,532.90,541.80,1
16,2024-12-20,ASHOKLEY,1848.0,1.25,3,215.60,218.00,217.5,220.30,222.65,0
17,2024-12-20,ASIANPAINT,9526.0,10,3,2267.35,2285.65,2280.0,2305.30,2324.70,0
18,2024-12-20,ASTRAL,1620.0,10,4,1770.70,1785.90,1730.0,1805.45,1830.10,2
19,2024-12-20,ATGL,1169.0,5,3,701.95,709.95,674.0,725.20,734.75,0
20,2024-12-20,ATUL,829.0,50,6,7250.45,7362.00,7000.0,7450.20,7526.65,4
21,2024-12-20,AUBANK,2233.0,5,2,535.30,544.55,539.5,553.55,562.75,0
22,2024-12-20,AUROPHARMA,2595.0,10,1,1232.20,1249.75,1241.0,1267.95,1287.35,0
23,2024-12-20,AXISBANK,11349.0,5,3,1081.90,1091.85,1070.0,1101.60,1110.85,0
24,2024-12-20,BAJAJ-AUTO,7369.0,50,2,8857.40,8955.35,8820.0,9042.95,9135.95,0
25,2024-12-20,BAJAJFINSV,3692.0,10,1,1566.35,1585.70,1570.0,1604.70,1622.50,0
26,2024-12-20,BAJFINANCE,7247.0,50,0,6757.00,6855.60,6829.95,6942.50,7031.95,1
27,2024-12-20,BALKRISIND,3336.0,25,4,2782.40,2823.60,2804.95,2876.10,2942.20,0
28,2024-12-20,BANDHANBNK,1226.0,1.25,2,159.15,159.90,159.9,164.75,163.00,0
29,2024-12-20,BANKBARODA,2729.0,1.25,0,243.50,245.90,239.5,248.35,250.65,0
30,2024-12-20,BANKINDIA,1247.0,0.5,3,104.85,105.45,102.98,106.40,107.45,0
31,2024-12-20,BATAINDIA,1535.0,5,2,1353.60,1364.15,1342.0,1374.75,1383.20,0
32,2024-12-20,BEL,3386.0,2.5,1,292.80,297.25,290.35,301.80,306.25,0
33,2024-12-20,BERGEPAINT,1639.0,2.5,1,437.05,442.10,445.0,446.80,451.70,0
34,2024-12-20,BHARATFORG,1899.0,10,5,1265.40,1287.25,1279.0,1305.80,1324.20,0
35,2024-12-20,BHARTIARTL,8596.0,10,2,1570.30,1589.35,1587.0,1606.25,1626.40,0
36,2024-12-20,BHEL,2586.0,2.5,3,232.75,237.65,236.45,242.20,246.80,1
37,2024-12-20,BIOCON,1591.0,2.5,1,341.75,346.95,336.0,351.35,355.70,0
38,2024-12-20,BOSCHLTD,1693.0,250,4,null,34958.85,35649.00,35666.40,35937.50,3
39,2024-12-20,BPCL,5038.0,2.5,2,287.90,292.65,288.85,297.30,302.20,0
40,2024-12-20,BRITANNIA,3451.0,25,3,4725.80,4772.60,4698.0,4821.25,4868.75,0
41,2024-12-20,BSE,7324.0,50,0,5665.40,5752.85,5558.45,5843.05,5951.10,3
42,2024-12-20,BSOFT,2169.0,5,3,586.10,595.05,573.0,603.75,619.80,0
43,2024-12-20,CAMS,1320.0,50,5,5048.05,5140.80,4950.0,5235.80,5397.10,1
44,2024-12-20,CANBK,4041.0,0.5,0,101.30,102.30,99.67,103.40,104.25,0
45,2024-12-20,CANFINHOME,1861.0,5,3,753.05,762.20,747.65,770.95,779.65,0
46,2024-12-20,CDSL,2437.0,10,0,1924.15,1943.80,1863.5,1962.15,1982.35,2
47,2024-12-20,CESC,1486.0,1.25,2,183.22,186.07,182.49,188.12,190.07,1
48,2024-12-20,CGPOWER,1031.0,5,2,755.40,764.70,731.0,774.20,783.55,3
49,2024-12-20,CHAMBLFERT,818.0,5,1,513.90,523.95,513.0,532.80,542.20,1
50,2024-12-20,CHOLAFIN,1400.0,10,3,1189.80,1208.15,1188.0,1226.20,1245.00,0
51,2024-12-20,CIPLA,7173.0,10,3,1472.30,1488.00,1476.4,1506.65,1527.00,0
52,2024-12-20,COALINDIA,7754.0,2.125,4,null,389.00,391.00,391.55,394.10,0
53,2024-12-20,COFORGE,17238.0,50,0,9567.15,9656.00,9399.0,9750.15,9846.80,5
54,2024-12-20,COLPAL,1700.0,25,3,2644.05,2729.35,2740.95,2777.60,2818.40,0
55,2024-12-20,CONCOR,1370.0,5,5,785.05,793.85,772.35,803.15,815.35,0
56,2024-12-20,COROMANDEL,1993.0,10,0,1809.25,1829.25,1838.2,1846.55,1867.20,2
57,2024-12-20,CROMPTON,460.0,2.5,4,387.25,391.65,388.2,396.60,400.90,0
58,2024-12-20,CUB,1809.0,1.25,0,176.28,178.78,177.11,180.73,183.33,0
59,2024-12-20,CUMMINSIND,1570.0,25,1,3326.15,3372.65,3307.0,3418.25,3471.80,0
60,2024-12-20,CYIENT,868.0,10,2,1992.50,2006.50,1923.85,2029.35,2050.55,4
61,2024-12-20,DABUR,1356.0,2.5,2,498.35,502.60,500.55,507.35,511.40,0
62,2024-12-20,DALBHARAT,1382.0,10,0,1835.20,1847.85,1802.3,1864.35,1885.65,0
63,2024-12-20,DEEPAKNTR,1395.0,25,3,2575.55,2626.45,2610.15,2671.30,2733.55,0
64,2024-12-20,DELHIVERY,2731.0,2.5,2,350.50,353.55,349.15,359.45,364.80,0
65,2024-12-20,DIVISLAB,4093.0,25,2,5822.25,5869.75,5841.35,5919.55,6009.10,0
66,2024-12-20,DIXON,16453.0,125,0,18116.15,18344.95,17960.0,18572.85,18816.90,3
67,2024-12-20,DLF,3345.0,5,0,854.75,864.30,832.5,873.25,882.75,1
68,2024-12-20,DMART,1846.0,25,3,3417.50,3470.45,3406.5,3511.95,3567.55,0
69,2024-12-20,DRREDDY,13938.0,5,0,1311.35,1319.55,1345.3,1330.20,1340.20,3
70,2024-12-20,EICHERMOT,2668.0,25,3,4678.15,4721.50,4740.0,4770.80,4816.10,1
71,2024-12-20,ESCORTS,1393.0,25,3,3214.40,3263.60,3170.0,3310.10,3367.85,0
72,2024-12-20,EXIDEIND,14254.0,5,5,435.55,444.75,420.3,453.50,463.70,1
73,2024-12-20,FEDERALBNK,2344.0,1.25,1,195.98,198.53,194.0,200.83,203.28,0
74,2024-12-20,GAIL,2611.0,1.25,1,193.60,195.80,192.89,198.10,200.45,0
75,2024-12-20,GLENMARK,1651.0,10,0,1530.40,1548.25,1545.0,1572.00,1596.80,0
76,2024-12-20,GMRAIRPORT,1337.0,0.5,2,78.97,80.12,78.2,81.42,82.62,1
77,2024-12-20,GNFC,505.0,5,2,581.55,593.95,586.3,603.15,612.50,0
78,2024-12-20,GODREJCP,1980.0,10,2,1052.85,1071.10,1070.0,1087.80,1107.20,0
79,2024-12-20,GODREJPROP,2578.0,25,0,2930.30,2973.25,2853.0,3019.45,3069.90,0
80,2024-12-20,GRANULES,719.0,5,0,595.75,591.80,591.0,610.45,633.40,2
81,2024-12-20,GRASIM,3787.0,10,2,2509.10,2529.10,2487.8,2547.15,2566.50,0
82,2024-12-20,GUJGASLTD,1935.0,5,2,494.90,503.65,500.9,513.20,523.00,0
83,2024-12-20,HAL,7720.0,50,0,4256.90,4349.90,4215.05,4433.40,4521.40,0
84,2024-12-20,HAVELLS,2019.0,10,4,1674.65,1687.15,1658.25,1706.45,1724.10,1
85,2024-12-20,HCLTECH,7458.0,10,0,1909.05,1927.25,1917.7,1946.05,1963.85,2
86,2024-12-20,HDFCAMC,2092.0,25,1,4324.60,4370.05,4263.95,4415.55,4471.15,1
87,2024-12-20,HDFCBANK,22380.0,5,0,1771.35,1780.80,1777.1,1790.35,1799.75,0
88,2024-12-20,HDFCLIFE,1907.0,5,2,604.40,613.50,623.75,622.70,632.30,0
89,2024-12-20,HEROMOTOCO,2922.0,50,3,4254.80,4357.20,4337.95,4438.15,4533.45,0
90,2024-12-20,HFCL,659.0,1.25,2,114.78,116.43,113.24,118.73,120.73,0
91,2024-12-20,HINDALCO,2224.0,5,5,615.65,625.15,624.45,634.00,643.40,0
92,2024-12-20,HINDCOPPER,209.0,2.5,5,268.45,274.15,267.85,281.20,283.50,3
93,2024-12-20,HINDPETRO,4462.0,2.5,0,403.05,407.65,400.0,412.50,417.30,1
94,2024-12-20,HINDUNILVR,5777.0,10,3,2326.30,2345.45,2340.1,2364.65,2383.30,0
95,2024-12-20,HUDCO,942.0,2.5,3,237.72,242.62,241.22,246.72,251.12,4
96,2024-12-20,ICICIBANK,10401.0,5,1,1272.30,1280.90,1292.0,1290.95,1300.65,0
97,2024-12-20,ICICIGI,2015.0,10,2,1870.75,1890.50,1902.4,1908.50,1932.20,0
98,2024-12-20,ICICIPRULI,888.0,5,2,644.00,653.55,654.25,662.80,672.00,0
99,2024-12-20,IDEA,587.0,0.5,1,7.15,7.65,7.39,8.35,8.70,3
100,2024-12-20,IDFCFIRSTB,4788.0,0.5,2,63.60,64.55,61.99,65.55,66.55,0
101,2024-12-20,IEX,2855.0,1.25,0,183.25,185.50,176.5,187.80,190.10,0
102,2024-12-20,IGL,2525.0,5,0,385.50,394.10,385.0,404.00,419.55,1
103,2024-12-20,INDHOTEL,1974.0,5,0,864.35,873.50,855.75,882.00,891.75,3
104,2024-12-20,INDIAMART,2241.0,25,3,2252.40,2334.85,2270.0,2367.90,2413.80,0
105,2024-12-20,INDIANB,761.0,5,3,527.45,543.60,540.1,553.60,563.70,0
106,2024-12-20,INDIGO,4761.0,25,0,4424.05,4467.70,4390.75,4519.30,4568.80,2
107,2024-12-20,INDUSINDBK,4370.0,10,2,928.35,948.45,930.9,964.75,982.85,0
108,2024-12-20,INDUSTOWER,1253.0,5,3,336.50,344.95,335.2,352.80,363.20,0
109,2024-12-20,INFY,36699.0,10,0,1930.10,1950.65,1927.8,1968.75,1986.25,1
110,2024-12-20,IOC,3002.0,1.25,2,136.33,138.58,137.7,140.68,143.08,0
111,2024-12-20,IPCALAB,4443.0,10,0,1569.60,1589.50,1585.0,1607.60,1631.90,5
112,2024-12-20,IRB,969.0,0.5,2,55.38,56.33,54.9,57.13,58.58,1
113,2024-12-20,IRCTC,1867.0,5,4,795.95,805.10,785.5,813.65,824.00,0
114,2024-12-20,IRFC,1882.0,1.25,3,150.80,153.10,148.25,155.20,158.10,1
115,2024-12-20,ITC,8180.0,2.5,2,451.95,457.10,465.65,462.00,467.00,0
116,2024-12-20,JINDALSTEL,2126.0,5,1,904.70,914.00,907.65,924.15,933.70,0
117,2024-12-20,JIOFIN,2511.0,2.5,3,307.10,311.50,305.4,315.85,320.50,0
118,2024-12-20,JKCEMENT,1211.0,25,0,4592.55,4610.00,4515.95,4659.90,4688.50,2
119,2024-12-20,JSL,575.0,5,3,726.85,733.00,717.4,740.45,752.65,4
120,2024-12-20,JSWENERGY,1469.0,5,2,661.65,676.10,667.05,684.50,693.05,5
121,2024-12-20,JSWSTEEL,5640.0,5,3,903.30,913.20,931.45,922.65,931.95,0
122,2024-12-20,JUBLFOOD,1404.0,5,1,664.60,674.00,672.5,683.35,692.55,1
123,2024-12-20,KALYANKJIL,983.0,5,1,720.55,734.35,719.9,743.40,752.90,4
124,2024-12-20,KEI,744.0,50,3,3834.90,4240.30,4158.0,4337.05,4447.90,2
125,2024-12-20,KOTAKBANK,4484.0,10,3,1728.40,1747.30,1748.7,1764.50,1783.45,1
126,2024-12-20,KPITTECH,1785.0,10,1,1508.80,1528.10,1450.0,1547.65,1587.50,1
127,2024-12-20,LALPATHLAB,1032.0,25,2,2975.10,3016.25,2955.4,3065.30,3102.90,3
128,2024-12-20,LAURUSLABS,2116.0,5,0,564.40,573.50,558.5,584.50,596.15,0
129,2024-12-20,LICHSGFIN,1691.0,5,3,573.90,583.55,579.0,592.65,600.85,0
130,2024-12-20,LICI,1385.0,5,4,895.80,904.55,901.0,913.45,922.50,0
131,2024-12-20,LODHA,3179.0,10,0,1451.85,1473.80,1400.05,1490.40,1508.80,6
132,2024-12-20,LT,8800.0,25,2,3626.45,3671.10,3629.0,3718.40,3764.90,1
133,2024-12-20,LTF,1108.0,1.25,2,137.95,140.15,136.36,142.55,144.95,0
134,2024-12-20,LTIM,9480.0,25,3,6137.65,6181.95,5821.5,6228.95,6278.55,0
135,2024-12-20,LTTS,4200.0,25,7,null,5083.05,5107.25,5116.35,5178.85,0
136,2024-12-20,LUPIN,4060.0,10,0,2131.40,2150.55,2149.75,2167.95,2188.95,4
137,2024-12-20,M&M,5100.0,25,1,2923.25,2970.95,2916.95,3015.10,3062.50,2
138,2024-12-20,M&MFIN,1318.0,2.5,2,266.90,271.60,266.5,276.30,282.20,0
139,2024-12-20,MANAPPURAM,1792.0,1.25,0,180.41,181.26,182.21,186.76,null,6
140,2024-12-20,MARICO,908.0,5,1,626.70,635.65,629.25,645.25,655.35,2
141,2024-12-20,MARUTI,9193.0,50,1,10823.50,10917.70,10868.9,11015.90,11104.05,0
142,2024-12-20,MAXHEALTH,2966.0,10,0,1147.70,1168.30,1163.05,1184.55,1203.45,4
143,2024-12-20,MCX,3093.0,50,0,6548.25,6640.70,6385.0,6727.55,6820.85,0
144,2024-12-20,METROPOLIS,1333.0,10,3,2099.65,2122.90,2066.7,2142.05,2164.50,1
145,2024-12-20,MFSL,715.0,10,3,1112.75,1125.40,1103.0,1143.30,1163.90,1
146,2024-12-20,MGL,2525.0,10,1,1230.80,1249.15,1219.0,1268.00,1286.35,0
147,2024-12-20,MOTHERSON,2163.0,1.25,0,155.98,158.18,155.5,160.73,163.18,0
148,2024-12-20,MPHASIS,4387.0,25,3,3080.10,3126.80,2958.0,3172.85,3223.90,2
149,2024-12-20,MRF,1370.0,250,1,130229.45,130183.75,130284.60,null,131224.75,4
150,2024-12-20,MUTHOOTFIN,3007.0,10,0,2091.25,2111.45,2070.75,2129.10,2147.85,4
151,2024-12-20,NATIONALUM,3561.0,1.25,5,205.35,218.05,215.3,220.65,222.70,0
152,2024-12-20,NAUKRI,9078.0,50,0,8744.90,8835.60,8481.0,8944.40,9045.70,4
153,2024-12-20,NAVINFLUOR,1037.0,25,3,3365.20,3401.40,3311.95,3456.05,3530.40,0
154,2024-12-20,NCC,780.0,2.5,5,,,287.5,,,1
155,2024-12-20,NESTLEIND,2948.0,10,5,2130.85,2150.00,2165.0,2169.00,2186.95,0
156,2024-12-20,NHPC,1687.0,0.5,4,82.25,83.20,81.4,84.40,85.30,1
157,2024-12-20,NMDC,1718.0,2.5,2,207.18,211.23,212.74,215.93,218.83,0
158,2024-12-20,NTPC,10938.0,2.5,2,333.10,337.90,333.55,342.45,346.95,0
159,2024-12-20,NYKAA,1215.0,1.25,3,169.33,170.73,167.91,174.18,177.38,2
160,2024-12-20,OBEROIRLTY,4163.0,10,0,2283.50,2304.35,2250.0,2320.90,2339.20,1
161,2024-12-20,OFSS,7655.0,125,0,12414.40,12653.85,12299.0,12870.75,13121.25,1
162,2024-12-20,OIL,794.0,5,2,422.35,435.30,421.4,443.30,453.10,0
163,2024-12-20,ONGC,4582.0,0.5,3,239.30,241.70,237.5,244.25,246.25,0
164,2024-12-20,PAGEIND,1684.0,250,0,48834.15,49287.70,48936.0,50049.35,50080.70,5
165,2024-12-20,PAYTM,2000.0,10,1,970.90,989.25,953.95,1006.55,1025.00,4
166,2024-12-20,PEL,2525.0,10,3,1087.85,1108.65,1090.25,1127.60,1145.45,0
167,2024-12-20,PERSISTENT,10398.0,50,0,6558.10,6649.25,6395.1,6737.25,6833.40,3
168,2024-12-20,PETRONET,1110.0,1,2,334.25,336.60,336.15,339.05,341.15,3
169,2024-12-20,PFC,3709.0,5,1,465.30,474.35,452.0,483.45,492.55,0
170,2024-12-20,PIDILITIND,1765.0,10,4,2962.70,2982.10,2983.0,2998.10,3024.85,0
171,2024-12-20,PIIND,1709.0,25,3,3817.95,3866.25,3827.8,3913.95,3960.55,0
172,2024-12-20,PNB,4680.0,0.5,2,101.31,102.21,100.78,103.31,104.16,0
173,2024-12-20,POLICYBZR,2260.0,25,2,2079.05,2123.95,2089.25,2164.45,2219.50,0
174,2024-12-20,POLYCAB,3637.0,50,0,7360.55,7454.55,7208.0,7535.25,7627.95,3
175,2024-12-20,POONAWALLA,1522.0,2.5,5,318.00,322.45,318.65,327.45,331.35,0
176,2024-12-20,POWERGRID,3440.0,2.5,4,312.40,316.90,315.75,321.30,326.05,0
177,2024-12-20,PRESTIGE,1280.0,25,2,1777.35,1824.90,1772.0,1870.35,1916.60,2
178,2024-12-20,PVRINOX,1075.0,10,4,1354.10,1379.30,1379.0,1449.05,1470.00,0
179,2024-12-20,RAMCOCEM,1721.0,5,0,1010.70,1021.55,986.5,1031.00,1040.30,1
180,2024-12-20,RBLBANK,4031.0,1.25,0,156.70,159.00,152.5,161.50,163.85,0
