name,token,symbol,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
DRREDDY,881,DRREDDY-EQ,,-1.0,1,,NSE,5.000000
ASTRAL,14418,ASTRAL-EQ,,-1.0,1,,NSE,5.000000
AXISBANK,5900,AXISBANK-EQ,,-1.0,1,,NSE,5.000000
IDEA,14366,IDEA-EQ,,-1.0,1,,NSE,1.000000
DIVISLAB,10940,DIVISLAB-EQ,,-1.0,1,,NSE,5.000000
JINDALSTEL,6733,JINDALSTEL-EQ,,-1.0,1,,NSE,5.000000
EXIDEIND,676,EXIDEIND-EQ,,-1.0,1,,NSE,5.000000
CANFINHOME,583,CANFINHOME-EQ,,-1.0,1,,NSE,5.000000
GRANULES,11872,GRANULES-EQ,,-1.0,1,,NSE,5.000000
ADANIENT,25,ADANIENT-EQ,,-1.0,1,,NSE,5.000000
HINDALCO,1363,HINDALCO-EQ,,-1.0,1,,NSE,5.000000
APOLLOHOSP,157,APOLLOHOSP-EQ,,-1.0,1,,NSE,5.000000
HINDUNILVR,1394,HINDUNILVR-EQ,,-1.0,1,,NSE,5.000000
EICHERMOT,910,EICHERMOT-EQ,,-1.0,1,,NSE,5.000000
BHEL,438,BHEL-EQ,,-1.0,1,,NSE,5.000000
COLPAL,15141,COLPAL-EQ,,-1.0,1,,NSE,5.000000
ESCORTS,958,ESCORTS-EQ,,-1.0,1,,NSE,5.000000
INFY,1594,INFY-EQ,,-1.0,1,,NSE,5.000000
HDFCAMC,4244,HDFCAMC-EQ,,-1.0,1,,NSE,5.000000
IRCTC,13611,IRCTC-EQ,,-1.0,1,,NSE,5.000000
CROMPTON,17094,CROMPTON-EQ,,-1.0,1,,NSE,5.000000
COROMANDEL,739,COROMANDEL-EQ,,-1.0,1,,NSE,5.000000
AMBUJACEM,1270,AMBUJACEM-EQ,,-1.0,1,,NSE,5.000000
BHARTIARTL,10604,BHARTIARTL-EQ,,-1.0,1,,NSE,5.000000
BEL,383,BEL-EQ,,-1.0,1,,NSE,5.000000
BANKBARODA,4668,BANKBARODA-EQ,,-1.0,1,,NSE,1.000000
HEROMOTOCO,1348,HEROMOTOCO-EQ,,-1.0,1,,NSE,5.000000
APOLLOTYRE,163,APOLLOTYRE-EQ,,-1.0,1,,NSE,5.000000
ALKEM,11703,ALKEM-EQ,,-1.0,1,,NSE,5.000000
GODREJCP,10099,GODREJCP-EQ,,-1.0,1,,NSE,5.000000
IOC,1624,IOC-EQ,,-1.0,1,,NSE,1.000000
HDFCBANK,1333,HDFCBANK-EQ,,-1.0,1,,NSE,5.000000
IDFCFIRSTB,11184,IDFCFIRSTB-EQ,,-1.0,1,,NSE,1.000000
BAJAJ-AUTO,16669,BAJAJ-AUTO-EQ,,-1.0,1,,NSE,5.000000
HAL,2303,HAL-EQ,,-1.0,1,,NSE,5.000000
DALBHARAT,8075,DALBHARAT-EQ,,-1.0,1,,NSE,5.000000
